   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    2    0   9.039000   -63.155226    -4.581493      63.3212    9.77726   38.50397    2
   1    1    0   8.420052    68.500833     1.766239      68.5236   10.49792   78.12455    4
   0    0    1   5.111710   -38.157838    -4.260462      38.3949   17.33412    4.42428    2
   1    3    0   5.090943    42.477595     2.207818      42.5349   17.40538   10.76864    4
   1    1   -1   4.880086    73.533056     2.148438      73.5644   18.16365   29.50935    4
   2    0    0   4.757576   -34.403714     5.019024      34.7679   18.63549    3.12629    2
   0    4    0   4.519500   -99.639029     0.839474      99.6426   19.62662   23.07526    2
   0    2    1   4.449493   -17.130978     3.022667      17.3956   19.93855    1.36149    4
   2    2    0   4.210026   -45.671293    -4.285030      45.8719   21.08527    8.43186    4
   2    0   -1   4.026518   -37.348097    -4.217875      37.5855   22.05800    2.57709    2
   1    1    1   3.991657   -28.679518     0.018692      28.6795   22.25309    2.94645    4
   1    3   -1   3.878747    81.926214    -0.539708       81.928   22.90952   22.63017    4
   2    2   -1   3.678090    -9.140122     3.467016      9.77558   24.17771    0.28784    4
   0    4    1   3.385878   -10.755995    -2.524207      11.0482   26.30018    0.30798    4
   1    3    1   3.385645  -141.481310    -5.564106      141.591   26.30202   50.57554    4
   1    5    0   3.379822    -2.167789    -3.184879      3.85263   26.34815    0.03731    4
   2    4    0   3.276703   122.659607     5.721416      122.793   27.19301   35.44803    4
   3    1    0   3.124001   173.912363     4.696561      173.976   28.54970   64.16171    4
   2    0    1   3.112522   -43.153377    -4.618676      43.3998   28.65725    1.98045    2
   3    1   -1   3.020902   -30.328986    -0.044502       30.329   29.54586    1.81222    4
   0    6    0   3.013000    -7.345728    -1.967658       7.6047   29.62511    0.05664    2
   2    4   -1   3.006421   -20.046427    -2.601395      20.2145   29.69143    0.79662    4
   1    5   -1   2.943390   -52.577400     3.723345      52.7091   30.34237    5.17025    4
   2    2    1   2.942933   139.721895     6.002184      139.851   30.34720   36.38498    4
   3    3    0   2.806684   -76.560431    -0.410518      76.5615   31.85857    9.82171    4
   3    3   -1   2.731205  -118.721883    -5.641865      118.856   32.76345   22.27959    4
   1    5    1   2.709661   253.785165    11.342162      254.038   33.03137  100.00000    4
   1    1   -2   2.613394    15.310572     1.022421      15.3447   34.28503    0.33648    4
   0    6    1   2.595650   157.945755     8.674502      158.184   34.52673   35.21378    4
   2    4    1   2.563427   -11.427032    -2.578757      11.7144   34.97465    0.18776    4
   0    0    2   2.555855  -101.959363     4.861242      102.075   35.08162    7.08082    2
