peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	codes
5.556681	4.091404	4.501916	4.209752	2.451787	2.150988	1
5.212766	3.115224	5.286706000000001	4.546477	2.419685	3.152779	7
5.260573	3.1437939999999998	5.8815	3.2624690000000003	2.093593	4.084726	7
4.337921	3.7567500000000003	1.603347	2.007628	2.4703470000000003	2.144694	3
5.541429	4.829944	4.322524	4.729934999999999	2.327353	3.283109	8
4.673565	4.568849999999999	3.772974	2.8528960000000003	2.7877520000000002	2.832637	2
7.951269	5.0898710000000005	5.109604	3.623762	3.6222149999999997	2.53934	4
7.652951	3.7629859999999997	3.749359	4.697186	5.368663	3.242656	6
5.319004	5.6395	3.6419680000000003	5.12748	3.208311	3.190613	9
2.878336	4.064425	2.057811	2.516324	3.209832	2.303318	0
7.042057	6.029211	4.5771880000000005	8.119956	6.243336	4.2686519999999994	6
7.756035	4.882106	3.757493	3.9567069999999998	3.3036380000000003	3.5180219999999998	4
4.958562000000001	3.574498	3.8030660000000003	3.637018	3.0574060000000003	1.697857	1
10.079571000000001	12.580995000000001	12.579708	5.275572	5.273835	7.959749	4
7.6147540000000005	6.1812510000000005	10.817667	6.0986590000000005	1.557108	6.0553930000000005	5
4.276931	3.660754	4.863425	3.765675	2.685006	2.482558	9
8.231291	5.552488	5.10502	4.602819	3.153106	3.41546	9
4.749605	3.5257009999999998	3.799118	2.7996749999999997	2.7166629999999996	2.60355	5
4.764631	4.66775	3.856576	2.446198	3.1743259999999998	3.02913	2
4.194105	3.580094	4.765738	3.709114	2.6369749999999996	2.431549	9
4.749849	2.406908	4.23985	3.8313230000000003	1.844127	2.929719	1
2.829734	2.829734	7.424383	8.28105	1.845844	2.79555	4
7.653518	4.036759	4.459255	4.595999	2.778143	2.854679	9
4.198606	3.6361	1.911789	1.9069749999999999	2.12357	2.115899	3
4.636554	3.322399	3.682317	2.417633	3.429896	2.0439030000000002	1
5.012634	2.673289	2.7159750000000003	3.219541	2.928849	2.067125	0
7.346442	5.055130999999999	3.772217	3.148935	3.756216	2.588328	0
7.831384	6.222924	4.8427180000000005	3.622803	3.3044789999999997	3.9298349999999997	6
3.5346960000000003	4.338672	4.611989	3.5717879999999997	2.922874	2.6606009999999998	6
3.8070370000000002	4.184561	4.142543	1.8344969999999998	2.17858	2.20039	9
5.657438	3.337408	4.739053999999999	5.958088	3.5563000000000002	1.5851890000000002	5
5.277344	3.153817	5.90025	4.064084	1.5572110000000001	4.02632	7
4.116507	2.581869	2.577447	1.635734	2.149776	2.520835	3
4.920668	5.426615	4.210393	2.5859199999999998	2.712736	2.857125	9
5.207027	3.386729	1.565918	4.137203	3.2981249999999998	2.6971160000000003	1
4.5545	3.7473150000000004	4.141313	3.6966710000000003	3.6398	3.2030649999999996	9
3.7421100000000003	1.7422840000000002	2.780418	3.532	2.0721350000000003	2.184388	2
4.926	4.8075	3.843969	2.7882480000000003	3.45922	2.627004	2
7.333171	5.189723	6.361964	2.681187	3.702077	2.525413	4
4.659098999999999	3.3346020000000003	3.7109829999999997	2.43267	3.4523280000000005	2.0493040000000002	1
5.962369	4.62585	3.025008	3.260428	2.202426	3.162265	0
4.956208	1.563279	3.563018	1.941043	4.408759	3.347336	1
4.786104	2.433553	4.274055	3.8889169999999997	1.8301990000000001	2.952389	1
4.788195999999999	2.925564	3.562	1.9448249999999998	2.718118	2.6220809999999997	2
4.865549	3.939037	3.299539	1.5526179999999998	3.717002	2.273284	4
9.928382	5.980788	5.955982	3.806867	4.597439	3.4901999999999997	4
6.2971	4.494989	2.898701	5.676396	2.6170850000000003	2.231977	4
3.957315	3.933987	2.63507	2.810879	2.3157249999999996	2.385782	6
5.462826	4.547926	3.216501	6.15463	3.211519	2.975038	8
5.269703	5.1445	4.058099	2.983307	3.0683759999999998	2.727553	2
7.6370640000000005	6.1923960000000005	10.854309	5.86977	6.070451	5.297051	5
7.012369	4.703906	4.737099000000001	8.197495	4.335785	3.797517	4
7.628711	4.580881	5.392440000000001	4.8588070000000005	3.960803	2.550802	5
5.274869	6.714587	5.27097	2.4092200000000004	3.774888	3.1025989999999997	9
4.298828	2.851084	3.20055	3.287279	2.446861	2.8925039999999997	0
4.60521	5.593187	3.00037	1.5901990000000001	2.7390920000000003	2.581117	2
4.60625	4.621459	3.9734000000000003	1.5906120000000001	2.739634	2.581753	2
4.457089	2.5908949999999997	5.026813	4.2777650000000005	1.8064490000000002	2.6428409999999998	8
5.402966	3.22889	5.487538000000001	5.485373	1.546865	3.350777	7
5.077817	3.817506	5.850037	3.7970699999999997	2.185575	2.455218	5
5.2672810000000005	3.1478029999999997	5.889	4.054048	2.4525770000000002	6.606132	7
5.29161	3.1623419999999998	5.9162	4.073246	1.5615329999999998	4.039029	7
6.615883	4.072943	4.9861450000000005	5.7946420000000005	3.7897879999999997	1.718702	5
5.030178	4.1056539999999995	5.1012830000000005	4.828882	2.1787520000000002	3.19653	8
5.9205939999999995	3.89071	3.905694	3.801021	1.5541779999999998	3.533939	1
3.121266	3.234096	4.813343	2.831254	2.302874	2.781426	2
5.847583	3.807593	5.24176	2.37329	2.647618	3.7921959999999997	5
4.660041	3.34124	3.6954979999999997	2.428211	1.869733	3.6311780000000002	1
6.340195	4.977	3.9062010000000003	2.96288	2.360774	2.025632	0
3.990097	4.735239999999999	4.013170000000001	3.579765	2.149326	3.32135	2
7.1181719999999995	6.435997	8.766755999999999	5.08833	4.790934	5.774691000000001	0
7.6212230000000005	5.763081	6.010210000000001	3.383431	3.873951	2.541875	6
4.554268	3.473136	4.619312	2.765445	2.712003	2.760079	2
3.048095	4.063385	3.278416	3.4969449999999997	2.736047	2.054927	2
4.397157	2.555707	2.828485	2.040826	1.89978	2.692698	3
5.4786529999999996	2.7066	3.152323	3.725752	3.030113	2.1134370000000002	4
5.706185	6.067	6.465745	4.424269	3.7329999999999997	3.429016	9
7.656758	4.599791	5.439051	4.918260999999999	3.066611	3.4172919999999998	5
5.917461	6.697841	3.867	3.393594	4.824409	2.9044749999999997	9
4.976652	1.5649229999999998	4.788	4.289146000000001	2.159687	2.389825	2
8.024163	5.1150400000000005	4.684025	4.959768	2.201133	3.8296	4
6.548826999999999	5.384373	3.7454739999999997	5.705192	2.811186	2.271105	6
5.680111	3.3509580000000003	3.0706369999999996	5.430358999999999	4.912495	1.543587	5
5.106756	4.229395	5.747562	3.559487	2.438585	3.873216	8
7.106693	6.564895	8.738535	5.637668	2.181063	4.576871	4
4.482959	2.8377630000000003	1.568448	3.729448	3.773878	2.18983	2
5.3857040000000005	3.2185740000000003	6.0214	4.916453000000001	2.439862	2.490519	7
7.039695999999999	4.780809	3.778535	2.724245	2.8205039999999997	3.577325	0
4.1895430000000005	2.689763	1.586458	3.8975660000000003	3.450932	2.218221	6
5.148715	5.372943	5.091900000000001	2.379725	2.461908	3.687476	8
4.913969	5.012115	2.660736	2.536587	2.6367659999999997	2.876882	2
5.275555000000001	3.1527469999999997	5.34462	4.61523	1.556752	4.026061	7
6.205451999999999	4.994661000000001	3.520474	5.499601	2.62299	1.741779	6
3.468107	2.3826080000000003	8.625948	9.179407999999999	1.542755	2.443434	5
6.304801	4.57785	4.096254	7.661672	3.8086650000000004	7.874356	4
3.766359	2.72375	2.769623	2.601355	2.084798	2.199237	2
5.248924000000001	3.136832	4.791589999999999	5.868475	3.2552440000000002	1.5971959999999998	7
4.7725670000000004	3.4735560000000003	3.66157	3.04901	1.945017	3.685441	5
5.2751079999999995	3.1524799999999997	5.89775	4.062697	1.556531	4.024279	7
5.388834	2.368407	4.062863	3.759056	4.694533	3.78385	7
4.091144	2.7107550000000002	4.319112	3.918782	4.196929	4.559891	9
5.588751	3.868754	3.616119	2.9861769999999996	1.8302610000000001	2.0451319999999997	3
4.506295	3.832824	5.146962	3.336456	2.661078	2.7818690000000004	9
5.466291999999999	3.266734	6.1114999999999995	4.990019	5.137855999999999	3.39005	7
8.746078	6.281103	4.327107	4.505986	3.3039829999999997	3.503267	9
6.054145999999999	4.691489000000001	4.390441	5.410791	2.560512	2.167163	6
6.982134	3.771149	4.728436	2.7060589999999998	3.350769	2.983126	0
4.675911	3.5976429999999997	4.13905	2.376251	2.945975	3.425304	5
5.647	5.02315	2.668932	3.32828	2.214718	1.700172	0
5.259942	4.06955	2.98023	3.203452	2.515397	2.866332	4
8.28111	5.605988	5.161312000000001	4.227242	3.07437	3.44796	9
5.801463	3.76181	5.256685	4.22686	3.0364310000000003	5.669595999999999	5
4.2035	4.118574	2.5221	1.559648	4.325366	2.150854	4
5.035395	2.3913279999999997	4.48714	4.236744	2.203997	2.499454	1
7.280483	8.730592	6.581241	1.943928	5.872655	5.122364	0
5.26727	5.329318000000001	2.679089	2.979361	3.037999	2.475008	2
8.268468	3.8491109999999997	4.518606999999999	4.0280380000000005	3.197559	2.729981	2
13.7726	10.406628000000001	10.914877	7.3758040000000005	6.250185	7.342579	4
5.392192	4.94131	4.787591	3.180638	3.380607	2.962626	9
5.5542	4.086434	1.5546129999999998	4.506882	3.297912	3.4222710000000003	1
2.804938	3.701731	1.5621019999999999	2.876461	3.258766	2.047263	2
5.1845040000000004	4.000957	3.8847899999999997	2.9360429999999997	2.988797	2.437424	2
4.655377	3.61654	1.578923	1.9800900000000001	1.893054	2.759338	3
4.722675	3.4607400000000004	4.318204	2.7479519999999997	1.624075	3.235415	5
5.51685	7.410349	3.734511	2.8322279999999997	2.732245	3.9690719999999997	1
4.691304000000001	3.371856	3.983642	2.4163930000000002	2.079772	3.191145	1
8.818278	6.153009	5.763489	5.049728	3.65176	3.6410340000000003	9
4.776854999999999	3.522701	3.813849	3.078805	2.44806	2.604435	5
