peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_code
5.397354	1.0	1.0	1.0	6.142411	4.0	0.0	0.0	4.897969	2.0	0.0	-2.0	4.832732	3.0	1.0	-1.0	4.41902	2.0	0.0	2.0	12.284821	2.0	0.0	0.0	2
2.964591	2.0	2.0	-1.0	2.512873	0.0	0.0	2.0	2.880601	3.0	1.0	0.0	2.460212	2.0	2.0	1.0	2.868555	3.0	1.0	-1.0	0.770437	3.0	11.0	0.0	2
2.998279	2.0	2.0	-1.0	2.862752	3.0	1.0	0.0	6.283386	1.0	1.0	0.0	2.483243	0.0	0.0	2.0	3.509762	1.0	1.0	1.0	4.345	0.0	2.0	0.0	2
2.999462	2.0	2.0	-1.0	2.864102	3.0	1.0	0.0	0.77058	10.0	6.0	0.0	6.284971	1.0	1.0	0.0	2.483702	0.0	0.0	2.0	3.510128	1.0	1.0	1.0	2
3.000985	2.0	2.0	-1.0	2.865624	3.0	1.0	0.0	6.287767	1.0	1.0	0.0	2.484949	0.0	0.0	2.0	3.511688	1.0	1.0	1.0	0.770961	10.0	6.0	0.0	2
2.92907	2.0	2.0	-1.0	2.830676	3.0	1.0	0.0	2.497165	0.0	0.0	2.0	2.419473	2.0	2.0	1.0	2.83764	3.0	1.0	-1.0	4.2973	0.0	2.0	0.0	2
2.932645	2.0	2.0	-1.0	2.829197	3.0	1.0	0.0	2.501114	0.0	0.0	2.0	2.419889	2.0	2.0	1.0	2.839525	3.0	1.0	-1.0	4.3019	0.0	2.0	0.0	2
2.92423	2.0	2.0	-1.0	2.829992	3.0	1.0	0.0	2.494231	0.0	0.0	2.0	2.418234	2.0	2.0	1.0	2.83407	3.0	1.0	-1.0	4.2902	0.0	2.0	0.0	2
5.42038	2.0	0.0	0.0	2.700457	2.0	4.0	0.0	6.229	0.0	2.0	0.0	3.062037	1.0	1.0	-2.0	2.51418	1.0	3.0	-2.0	2.71019	4.0	0.0	0.0	2
4.424235	0.0	0.0	2.0	3.286954	4.0	0.0	0.0	3.858526	1.0	3.0	-1.0	6.595	0.0	2.0	0.0	3.435323	2.0	2.0	-2.0	6.03836	1.0	1.0	1.0	2
5.845162	6.0	0.0	0.0	3.203641	3.0	1.0	3.0	3.205407	3.0	1.0	-3.0	3.3585	0.0	2.0	0.0	2.922581	12.0	0.0	0.0	4.46928	5.0	1.0	1.0	2
4.361977	1.0	1.0	-4.0	4.000249	1.0	1.0	4.0	5.420501	1.0	1.0	-2.0	5.063562	1.0	1.0	2.0	4.89258	2.0	0.0	0.0	2.885554	2.0	2.0	-2.0	2
4.707169	1.0	1.0	-1.0	3.351611	3.0	1.0	-1.0	3.504252	2.0	0.0	-4.0	4.769636	1.0	1.0	0.0	3.031799	1.0	1.0	3.0	2.075605	5.0	1.0	-5.0	2
2.984302	2.0	2.0	-1.0	2.899907	3.0	1.0	0.0	2.525598	0.0	0.0	2.0	2.471312	2.0	2.0	1.0	6.362319	1.0	1.0	0.0	2.54446	1.0	3.0	-1.0	2
2.991003	2.0	2.0	-1.0	2.907483	3.0	1.0	0.0	2.528748	0.0	0.0	2.0	2.478508	2.0	2.0	1.0	6.382646	1.0	1.0	0.0	2.552222	1.0	3.0	-1.0	2
2.998215	2.0	2.0	-1.0	2.914446	3.0	1.0	0.0	2.533182	0.0	0.0	2.0	2.484414	2.0	2.0	1.0	6.399561	1.0	1.0	0.0	4.441867	1.0	1.0	-1.0	2
