peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_group	Space_code
2.759387	1.0	0.0	1.0	2.13981	1.0	0.0	2.0	1.805	1.0	1.0	0.0	1.138658	1.0	1.0	4.0	1.658607	1.0	0.0	3.0	1.379694	2.0	0.0	2.0	P6_3mmc	0
2.709661	1.0	5.0	1.0	8.420052	1.0	1.0	0.0	3.124001	3.0	1.0	0.0	2.534121	2.0	0.0	-2.0	3.385645	1.0	3.0	1.0	9.039	0.0	2.0	0.0	C2m	1
2.71008	1.0	5.0	1.0	8.420881	1.0	1.0	0.0	3.124382	3.0	1.0	0.0	2.533122	2.0	0.0	-2.0	3.386463	1.0	3.0	1.0	9.039	0.0	2.0	0.0	C2m	1
2.707619	1.0	5.0	1.0	8.428372	1.0	1.0	0.0	3.1282	3.0	1.0	0.0	2.53669	2.0	0.0	-2.0	3.382607	1.0	3.0	1.0	2.594201	0.0	6.0	1.0	C2m	1
2.705867	1.0	5.0	1.0	8.423012	1.0	1.0	0.0	3.125859	3.0	1.0	0.0	2.537259	2.0	0.0	-2.0	3.379508	1.0	3.0	1.0	2.593445	0.0	6.0	1.0	C2m	1
2.710828	1.0	5.0	1.0	8.439285	1.0	1.0	0.0	3.132018	3.0	1.0	0.0	2.537299	2.0	0.0	-2.0	3.385822	1.0	3.0	1.0	2.597477	0.0	6.0	1.0	C2m	1
2.709606	1.0	5.0	1.0	8.436161	1.0	1.0	0.0	3.130913	3.0	1.0	0.0	2.536477	2.0	0.0	-2.0	3.384278	1.0	3.0	1.0	9.045	0.0	2.0	0.0	C2m	1
8.453176	1.0	1.0	0.0	2.716937	1.0	5.0	1.0	3.136709	3.0	1.0	0.0	2.543706	2.0	0.0	-2.0	3.39343	1.0	3.0	1.0	2.347829	3.0	5.0	-1.0	C2m	1
8.457333	1.0	1.0	0.0	2.718229	1.0	5.0	1.0	3.138166	3.0	1.0	0.0	2.544825	2.0	0.0	-2.0	3.394795	1.0	3.0	1.0	2.604983	0.0	6.0	1.0	C2m	1
8.472297	1.0	1.0	0.0	2.724359	1.0	5.0	1.0	3.143392	3.0	1.0	0.0	2.541033	2.0	0.0	-2.0	3.402547	1.0	3.0	1.0	2.609626	0.0	6.0	1.0	C2m	1
